ComentarioCrudo,ComentarioLimpio
"QEPD mucha fuerza para su familia y sus papás que perdieron 2 hijos en un segundo qué dios les ayude a sobrellevar este dolor ,fuerza para su esposa y sus hijitos tan pequeños que tienen que crecer sin su papá muy triste","QEPD mucha fuerza para su familia y sus papás que perdieron 2 hijos en un segundo qué dios les ayude a sobrellevar este dolor ,fuerza para su esposa y sus hijitos tan pequeños que tienen que crecer sin su papá muy triste"
"Hay , x Dios bendito ,","Hay , x Dios bendito ,"
"Nadie sabe el día ni la hora , pero si lo sierto es que , a todos nos llegará la hora ,, que tristeza","Nadie sabe el día ni la hora , pero si lo sierto es que , a todos nos llegará la hora ,, que tristeza"
Caprichosa la vida así iría de velocidad,Caprichosa la vida así iría de velocidad
Fortaleza a la familia,Fortaleza a la familia
Que descanse en paz,Que descanse en paz
Una tragedia !! Que tristeza,Una tragedia !! Que tristeza
Que pena deja en el alma a su hermosa familia QDP,Que pena deja en el alma a su hermosa familia QDP
En paz descanse,En paz descanse
DEP,DEP
Que en paz descanse,Que en paz descanse
Descanse en paz,Descanse en paz
"Bendita sean sus memorias
. Dios Todopoderoso le de consuelo y fortaleza a su familia y a su esposa. Descansen en paz los dos hermanos","Bendita sean sus memorias
. Dios Todopoderoso le de consuelo y fortaleza a su familia y a su esposa. Descansen en paz los dos hermanos"
"Conducían ah más de 250 por la ruta , osea te la venías buscando tambien","Conducían ah más de 250 por la ruta , osea te la venías buscando tambien"
Que triste que Dios le de el descanso eterno tan pequeñitos sus hijos que dolor sólo Dios sabe porque pasan estás cosas tristeza para su esposa y sus familiares,Que triste que Dios le de el descanso eterno tan pequeñitos sus hijos que dolor sólo Dios sabe porque pasan estás cosas tristeza para su esposa y sus familiares
"Antes de tomar un volante , hay que pensar precisamente en ello, en lo que tienes, en tu familia, en tu vida! No vengamos con sentimentalismos, si!! Por supuesto que es muy doloroso, terriblemente doloroso , una tragedia muy grande !! Pero no destruyes un carro de esa manera a menos que vayas a una velocidad exagerada !!","Antes de tomar un volante , hay que pensar precisamente en ello, en lo que tienes, en tu familia, en tu vida! No vengamos con sentimentalismos, si!! Por supuesto que es muy doloroso, terriblemente doloroso , una tragedia muy grande !! Pero no destruyes un carro de esa manera a menos que vayas a una velocidad exagerada !!"
Caprichosa la vida ?,Caprichosa la vida ?
"Pendejo el pilto, que ganas de morirse joven, esos vehículos son de mucha velocidad, es una muerte segura","Pendejo el pilto, que ganas de morirse joven, esos vehículos son de mucha velocidad, es una muerte segura"
"Para manejar esos vehículos hay que tenerles mucho respeto, no miedo, pero si mucho respeto","Para manejar esos vehículos hay que tenerles mucho respeto, no miedo, pero si mucho respeto"
Que le paso.? Como fue?,Que le paso.? Como fue?
Que descanses en paz,Que descanses en paz
"Que triste noticia, aveces la vida es injusta!! Que en paz descanze Diogo Jota!!","Que triste noticia, aveces la vida es injusta!! Que en paz descanze Diogo Jota!!"
"Que injusticia tan grande, Dios dale valor a esa mujer y a eso pequeños","Que injusticia tan grande, Dios dale valor a esa mujer y a eso pequeños"
#Deportes | Moisés Caicedo sufrió una lesión en la semifinal Chelsea-Fluminense. ¿Estará en la final?. #LéaloEnET:... Ver más,Moisés Caicedo sufrió una lesión en la semifinal ChelseaFluminense. ¿Estará en la final?. Ver más
#Deportes,
#Deportes | ¡Sorpresivo! Moisés Ramírez ya tendría equipo. #LéaloEnET: https://is.gd/nMleIl,¡Sorpresivo! Moisés Ramírez ya tendría equipo.
"El no tiene la culpa ahi tienen q ver los chemichurris dirigentes, ese arquero es re malo x eso lo votaron de independiente, Pero ya estaba amarrado con rescalvo el ya sabía q IVA ser el Dt. De Barcelona entonces ISO como q renunciaba en independiente para q lo contraten en Barcelona, así nunca llegará a ganar nada internacionalmente se llena se rechazos cada vez","El no tiene la culpa ahi tienen q ver los chemichurris dirigentes, ese arquero es re malo x eso lo votaron de independiente, Pero ya estaba amarrado con rescalvo el ya sabía q IVA ser el Dt. De Barcelona entonces ISO como q renunciaba en independiente para q lo contraten en Barcelona, así nunca llegará a ganar nada internacionalmente se llena se rechazos cada vez"
Regalado es caro ese arquero re malo,Regalado es caro ese arquero re malo
Veo que hay muchas personas que opinan sin saver de futboll Ramires es unos de los mejores porteros es joven el unico en el pais que save jugar con los pies buenos reflejos bueno en los cortes si el corrije el defecto que tien el hesexo de confianza que tiene y por heso comete hesos herrores hojala y los dirijentes de emelec lo pudieran traer porque atras de ortiz no tenemos a nadie,Veo que hay muchas personas que opinan sin saver de futboll Ramires es unos de los mejores porteros es joven el unico en el pais que save jugar con los pies buenos reflejos bueno en los cortes si el corrije el defecto que tien el hesexo de confianza que tiene y por heso comete hesos herrores hojala y los dirijentes de emelec lo pudieran traer porque atras de ortiz no tenemos a nadie
Ojalá se vaya al Barcelona,Ojalá se vaya al Barcelona
"Barcelona, para que no pierdan el tiempo leyendo","Barcelona, para que no pierdan el tiempo leyendo"
"Barcelona siempre ha querido figurar por ""sus elementos convocados (a imponer)"" en la selección, ahí tiene su oportunidad de contar con un barcelonista en la selección. Pobrecitos se conforman con alguito.....","Barcelona siempre ha querido figurar por sus elementos convocados a imponer en la selección, ahí tiene su oportunidad de contar con un barcelonista en la selección. Pobrecitos se conforman con alguito....."
No que no sea para mi barcelona B.S.C,No que no sea para mi barcelona B.S.C
Esté es un verdadero PAQUETE y SOBRADO,Esté es un verdadero PAQUETE y SOBRADO
Q belleza d presidente d bsc puros chimichurri como l asem daño a bsc,Q belleza d presidente d bsc puros chimichurri como l asem daño a bsc
Puede ser deportivo Quevedo,Puede ser deportivo Quevedo
Baya al Emelec,Baya al Emelec
Equipo grande dice,Equipo grande dice
El único grande es LDU,El único grande es LDU
A quemarse en Barcelona calentar banca para eso va slla,A quemarse en Barcelona calentar banca para eso va slla
Mendoza es mucho más arquero,Mendoza es mucho más arquero
"Me parece un buen Arquero, además de selección, ojalá y Rescalvo lo recupere.","Me parece un buen Arquero, además de selección, ojalá y Rescalvo lo recupere."
Al comienzo se portará bien luego de un tiempo sigue la burra al trigo,Al comienzo se portará bien luego de un tiempo sigue la burra al trigo
"Los mismos ecuatorianos tratamos de bajarles a jovenes, por errores normales de jovenes deportistas e influyen en ciertas decisiones de los directivos. cuaerdense luego vana a estar a sus pies, un gran arquero la araña","Los mismos ecuatorianos tratamos de bajarles a jovenes, por errores normales de jovenes deportistas e influyen en ciertas decisiones de los directivos. cuaerdense luego vana a estar a sus pies, un gran arquero la araña"
Debe ser chumichurri sc. Por q ellos buscan a todos los paquites,Debe ser chumichurri sc. Por q ellos buscan a todos los paquites
VA PARA LA COPIA ....JAJAJA,VA PARA LA COPIA ....JAJAJA
Este buen arquero y criticado por lasvtsrrinros deportivos se merece un buen equipo de nivel internacional.,Este buen arquero y criticado por lasvtsrrinros deportivos se merece un buen equipo de nivel internacional.
Ah Ceballos también lo recogieron y fue campeón con Liga.,Ah Ceballos también lo recogieron y fue campeón con Liga.
barcelona no porque dice que es un equipo grande,barcelona no porque dice que es un equipo grande
Barcelona recoje todo loque otros equipos votan x malos,Barcelona recoje todo loque otros equipos votan x malos
solo huevadas contratan y quieren salir campeones!!!!!!!!,solo huevadas contratan y quieren salir campeones!!!!!!!!
Al Quito.,Al Quito.
"Todos los seres humanos tenemos derecho de superación, y bienestar solo los que sienten odio, porque ellos mismo no se aman, por eso sus opiniones, son para destruir al prójimo.","Todos los seres humanos tenemos derecho de superación, y bienestar solo los que sienten odio, porque ellos mismo no se aman, por eso sus opiniones, son para destruir al prójimo."
"De los dos grandes de Ecuador no creo que estén interesados, acaba de salir del IDV, y no puede ir al grande que es Liga, porque tiene tres arqueros de jerarquía.","De los dos grandes de Ecuador no creo que estén interesados, acaba de salir del IDV, y no puede ir al grande que es Liga, porque tiene tres arqueros de jerarquía."
Sin comentarios,Sin comentarios
Sele acabo la convocatoria ala selección a este paquete,Sele acabo la convocatoria ala selección a este paquete
Jajkak traelo a la perimetral para ponerlo a trabajar de verdad,Jajkak traelo a la perimetral para ponerlo a trabajar de verdad
Será que Barcelona tiene plata para regalar,Será que Barcelona tiene plata para regalar
Para que ese tipo no es para Barcelona a la selección lo convocan x que es de independiente nada más,Para que ese tipo no es para Barcelona a la selección lo convocan x que es de independiente nada más
Chuta que no sea para Barcelona por dio,Chuta que no sea para Barcelona por dio
Está listo para Guayaquil Sport.,Está listo para Guayaquil Sport.
Ahora sí han de querer que le convoquen a la selección,Ahora sí han de querer que le convoquen a la selección
Esté si es re malo para que,Esté si es re malo para que
Omo,Omo
Que estupidez de dirigente arquero recontra malo entrega las bolas para que le hagan goles como lo hizo con liga para que queden campeones,Que estupidez de dirigente arquero recontra malo entrega las bolas para que le hagan goles como lo hizo con liga para que queden campeones
No sirve,No sirve
"Otra estupidez de la dirigencia de BARCELONA, arquero que hace una buena y diez malas…creen es una “buena” opción para el Ídolo, si actualmente tiene dos buenos arqueros ?","Otra estupidez de la dirigencia de BARCELONA, arquero que hace una buena y diez malascreen es una buena opción para el Ídolo, si actualmente tiene dos buenos arqueros ?"
Ni de broma se lo quiere a Moisés Ramirez mira que la afición con la llegada de Rescalvo no está llendo al monumental y cada vez verás menos gente,Ni de broma se lo quiere a Moisés Ramirez mira que la afición con la llegada de Rescalvo no está llendo al monumental y cada vez verás menos gente
Wevadas que trae este perro de Antonio Alvarez debe de largarse como directivo a traído porquería de contrataciones,Wevadas que trae este perro de Antonio Alvarez debe de largarse como directivo a traído porquería de contrataciones
"Es malo este arquero, ni para agua tero.","Es malo este arquero, ni para agua tero."
"Si es liga ko dudo, IDV , lo dudo,ya no hay mas grandes","Si es liga ko dudo, IDV , lo dudo,ya no hay mas grandes"
Por bocones no les va bien ande pasar 100 años más y nada,Por bocones no les va bien ande pasar 100 años más y nada
Que jente no tienen nada en la cabeza este regala campeonato y es malo que burros,Que jente no tienen nada en la cabeza este regala campeonato y es malo que burros
"Fernando Barca
el es hincha de la copia. Bien le irá.","Fernando Barca
el es hincha de la copia. Bien le irá."
Moisés Ramires ..medio equipo para Barcelon,Moisés Ramires ..medio equipo para Barcelon
Traen huevadas o son ciego,Traen huevadas o son ciego
Solo malos reciclan en mi barse quefalta de visión,Solo malos reciclan en mi barse quefalta de visión
Mas malo que la comida de los locos,Mas malo que la comida de los locos
Para pasabolas,Para pasabolas
Una caca ese arquero,Una caca ese arquero
No Barcelona no haga huevadas ya vasta con las huevadas que tenemos,No Barcelona no haga huevadas ya vasta con las huevadas que tenemos
La liga de guamani ese malo,La liga de guamani ese malo
Moisés cala en Emelec. O el aucas.,Moisés cala en Emelec. O el aucas.
"Si la ""Directiva"" Del Idolo contrata a esa wievada de seudo Arquero es tan consumiendo mucha droga ya han de estar pensando de poner como jerente al narco meco criminal de Correa",Si la Directiva Del Idolo contrata a esa wievada de seudo Arquero es tan consumiendo mucha droga ya han de estar pensando de poner como jerente al narco meco criminal de Correa
No habrá otro más malo que contraten regalado,No habrá otro más malo que contraten regalado
Me imagine y claro y es más figureti q Alenjandro,Me imagine y claro y es más figureti q Alenjandro
paquete,paquete
Para el nacional sería bueno el arquero,Para el nacional sería bueno el arquero
"Ramírez es medio equipo, mínimo vale 20 millones","Ramírez es medio equipo, mínimo vale 20 millones"
En Barselona le queda bien para recuperar su nivel suerte,En Barselona le queda bien para recuperar su nivel suerte
"El karma existe, a quien más insitaltse en la vida ahora va a jugar a tu equipo.. ahora sí se podrá decir que que Barcelona tiene jugadores que ha ganado copas internacionales","El karma existe, a quien más insitaltse en la vida ahora va a jugar a tu equipo.. ahora sí se podrá decir que que Barcelona tiene jugadores que ha ganado copas internacionales"
América el equipo cebollita de Quito,América el equipo cebollita de Quito
Dice un grande de Ecuador,Dice un grande de Ecuador
No un pequeño de Ecuador,No un pequeño de Ecuador
arquero titular y de selección para Barcelona,arquero titular y de selección para Barcelona
Jaja a calentar banco año corrido!!!,Jaja a calentar banco año corrido!!!
es un buen arquero lo que pasa que es indisciplinado en la eliminatoria en el psrtido Ecuador Colombia Benites tapo un penal,es un buen arquero lo que pasa que es indisciplinado en la eliminatoria en el psrtido Ecuador Colombia Benites tapo un penal
"Este moreno se equivoco de profesión, como arquero no sirve es una cernidera y le hacen goles infantiles , cual será el equipo que se arriesga a botar el dinero.","Este moreno se equivoco de profesión, como arquero no sirve es una cernidera y le hacen goles infantiles , cual será el equipo que se arriesga a botar el dinero."
